X0,y,X89
2015-12-17 06:35:00,18.59375,11.1
2015-12-17 06:40:00,18.575,11.1
2015-12-17 06:45:00,18.575,11.1
2015-12-17 06:50:00,18.5625,11.1
2015-12-17 06:55:00,18.55,11.1
2015-12-17 07:00:00,18.55,11.1
2015-12-17 07:05:00,18.53125,11.1
2015-12-17 07:10:00,18.5125,11.1
2015-12-17 07:15:00,18.5125,11.1
2015-12-17 07:20:00,18.48125,11.1
2015-12-17 07:25:00,18.45,11.1
2015-12-17 07:30:00,18.45,11.1
2015-12-17 07:35:00,18.4375,11.1
2015-12-17 07:40:00,18.425,11.1
2015-12-17 07:45:00,18.425,11.1
2015-12-17 07:50:00,18.3875,11.1
2015-12-17 07:55:00,18.35,11.1
2015-12-17 08:00:00,18.35,11.1
2015-12-17 08:05:00,18.45,17.6
2015-12-17 08:10:00,18.55,17.6
2015-12-17 08:15:00,18.55,24.2
2015-12-17 08:20:00,19.5875,27.5
2015-12-17 08:25:00,20.625,27.8
2015-12-17 08:30:00,20.625,29.8
2015-12-17 08:35:00,21.675,32.4
2015-12-17 08:40:00,22.725,33.3
2015-12-17 08:45:00,22.725,30.6
2015-12-17 08:50:00,22.90625,28.8
2015-12-17 08:55:00,23.0875,23.4
2015-12-17 09:00:00,23.0875,19.5
2015-12-17 09:05:00,22.7,18.9
2015-12-17 09:10:00,22.3125,18.7
2015-12-17 09:15:00,22.3125,21.1
2015-12-17 09:20:00,22.03125,21.4
2015-12-17 09:25:00,21.75,21.4
2015-12-17 09:30:00,21.75,21.4
2015-12-17 09:35:00,21.4625,21.3
2015-12-17 09:40:00,21.175,21.2
2015-12-17 09:45:00,21.175,21.1
2015-12-17 09:50:00,20.99375,21.0
2015-12-17 09:55:00,20.8125,20.9
2015-12-17 10:00:00,20.8125,20.9
2015-12-17 10:05:00,20.675,20.9
2015-12-17 10:10:00,20.5375,20.9
2015-12-17 10:15:00,20.5375,20.9
2015-12-17 10:20:00,20.44375,20.9
2015-12-17 10:25:00,20.35,20.9
2015-12-17 10:30:00,20.35,20.9
2015-12-17 10:35:00,20.3125,20.9
2015-12-17 10:40:00,20.275,20.9
2015-12-17 10:45:00,20.275,21.0
2015-12-17 10:50:00,20.225,21.0
2015-12-17 10:55:00,20.175,21.0
2015-12-17 11:00:00,20.175,21.1
2015-12-17 11:05:00,20.3125,21.1
2015-12-17 11:10:00,20.45,24.3
2015-12-17 11:15:00,20.45,30.3
2015-12-17 11:20:00,21.41875,30.9
2015-12-17 11:25:00,22.3875,35.4
2015-12-17 11:30:00,22.3875,34.6
2015-12-17 11:35:00,23.35625,37.4
2015-12-17 11:40:00,24.325,35.8
2015-12-17 11:45:00,24.325,26.1
2015-12-17 11:50:00,23.975,24.9
2015-12-17 11:55:00,23.625,22.2
2015-12-17 12:00:00,23.625,16.0
2015-12-17 12:05:00,22.90625,12.9
2015-12-17 12:10:00,22.1875,12.1
2015-12-17 12:15:00,22.1875,11.5
2015-12-17 12:20:00,21.725,11.4
2015-12-17 12:25:00,21.2625,16.9
2015-12-17 12:30:00,21.2625,20.2
2015-12-17 12:35:00,21.1125,20.6
2015-12-17 12:40:00,20.9625,20.9
2015-12-17 12:45:00,20.9625,21.2
2015-12-17 12:50:00,20.9395833332,21.3
2015-12-17 12:55:00,20.9166666665,21.5
2015-12-17 13:00:00,20.9166666665,21.4
2015-12-17 13:05:00,20.9124999999,21.5
2015-12-17 13:10:00,20.9083333332,21.7
2015-12-17 13:15:00,20.9083333332,21.7
2015-12-17 13:20:00,20.9249999999,21.7
2015-12-17 13:25:00,20.9416666665,21.7
2015-12-17 13:30:00,20.9416666665,21.8
2015-12-17 13:35:00,20.9666666665,21.8
2015-12-17 13:40:00,20.9916666665,21.8
2015-12-17 13:45:00,20.9916666665,21.8
2015-12-17 13:50:00,21.0041666665,21.8
2015-12-17 13:55:00,21.0166666665,21.8
2015-12-17 14:00:00,21.0166666665,21.9
2015-12-17 14:05:00,21.0333333332,21.9
2015-12-17 14:10:00,21.05,21.9
2015-12-17 14:15:00,21.05,21.9
2015-12-17 14:20:00,21.0624999999,21.9
