X0,y
2015-12-21 02:15:00,18.9
2015-12-21 02:30:00,18.875
2015-12-21 02:45:00,18.85
2015-12-21 03:00:00,18.825
2015-12-21 03:15:00,18.775
2015-12-21 03:30:00,18.75
2015-12-21 03:45:00,18.725
2015-12-21 04:00:00,18.675
2015-12-21 04:15:00,18.65
2015-12-21 04:30:00,18.6375
2015-12-21 04:45:00,18.625
2015-12-21 05:00:00,18.625
2015-12-21 05:15:00,18.625
2015-12-21 05:30:00,18.575
2015-12-21 05:45:00,18.525
2015-12-21 06:00:00,18.525
2015-12-21 06:15:00,18.525
2015-12-21 06:30:00,18.4916666665
2015-12-21 06:45:00,18.475
2015-12-21 07:00:00,18.475
2015-12-21 07:15:00,18.4375
2015-12-21 07:30:00,18.425
2015-12-21 07:45:00,18.425
2015-12-21 08:00:00,18.4
2015-12-21 08:15:00,18.975
2015-12-21 08:30:00,21.6375
2015-12-21 08:45:00,23.525
2015-12-21 09:00:00,22.725
2015-12-21 09:15:00,21.8
2015-12-21 09:30:00,21.2125
2015-12-21 09:45:00,20.825
2015-12-21 10:00:00,20.55
2015-12-21 10:15:00,20.775
2015-12-21 10:30:00,22.3
2015-12-21 10:45:00,23.0
2015-12-21 11:00:00,22.2375
2015-12-21 11:15:00,21.65
2015-12-21 11:30:00,21.275
2015-12-21 14:15:00,22.525
2015-12-21 14:30:00,21.9875
2015-12-21 14:45:00,21.65
2015-12-21 15:00:00,21.3625
2015-12-21 15:15:00,21.15
2015-12-21 15:30:00,21.025
2015-12-21 15:45:00,20.9249999995
2015-12-21 16:00:00,20.8249999997
2015-12-21 16:15:00,20.7583333333
2015-12-21 16:30:00,20.6999999997
2015-12-21 16:45:00,20.65
2015-12-21 17:00:00,20.6125
2015-12-21 17:15:00,20.575
2015-12-21 17:30:00,21.05
2015-12-21 17:45:00,22.0375
2015-12-21 18:00:00,21.95
2015-12-21 18:15:00,21.5625
2015-12-21 18:30:00,21.325
2015-12-21 18:45:00,21.125
2015-12-21 19:00:00,20.9875
2015-12-21 19:15:00,20.9
2015-12-21 19:30:00,20.8
2015-12-21 19:45:00,20.775
2015-12-21 20:00:00,20.725
2015-12-21 20:15:00,20.6625
2015-12-21 20:30:00,20.7125
2015-12-21 20:45:00,20.7
2015-12-21 21:00:00,20.65
2015-12-21 21:15:00,20.6
2015-12-21 21:30:00,20.475
2015-12-21 21:45:00,20.325
2015-12-21 22:00:00,20.1625
2015-12-21 22:15:00,20.0
2015-12-21 22:30:00,19.875
2015-12-21 22:45:00,19.8125
2015-12-21 23:00:00,19.7
2015-12-21 23:15:00,19.5875
2015-12-21 23:30:00,19.5
2015-12-21 23:45:00,19.4125
2015-12-22 00:00:00,19.35
2015-12-22 00:15:00,19.275
2015-12-22 00:30:00,19.2125
2015-12-22 00:45:00,19.1625
2015-12-22 01:00:00,19.1125
2015-12-22 01:15:00,19.0375
2015-12-22 01:30:00,19.00625
2015-12-22 01:45:00,18.9749999995
2015-12-22 02:00:00,18.925
2015-12-22 02:15:00,18.9083333332
2015-12-22 02:30:00,18.8749999995
2015-12-22 02:45:00,18.825
2015-12-22 03:00:00,18.8
2015-12-22 03:15:00,18.7666666665
2015-12-22 03:30:00,18.7
2015-12-22 03:45:00,18.675
2015-12-22 04:00:00,18.625
2015-12-22 04:15:00,18.625
2015-12-22 04:30:00,18.625
2015-12-22 04:45:00,18.55
2015-12-22 05:00:00,18.525
2015-12-22 05:15:00,18.5
2015-12-22 05:30:00,18.4375
2015-12-22 05:45:00,18.425
2015-12-22 06:00:00,18.375
2015-12-22 06:15:00,18.325
2015-12-22 06:30:00,18.325
2015-12-22 06:45:00,18.275
2015-12-22 07:00:00,18.225
2015-12-22 07:15:00,18.225
2015-12-22 07:30:00,18.225
2015-12-22 07:45:00,18.225
2015-12-22 08:00:00,18.1875
2015-12-22 08:15:00,18.95
2015-12-22 08:30:00,21.45
2015-12-22 08:45:00,23.725
2015-12-22 09:00:00,23.7625
2015-12-22 09:15:00,22.6125
2015-12-22 09:30:00,21.75
2015-12-22 09:45:00,21.2125
2015-12-22 10:00:00,20.825
2015-12-22 10:15:00,20.6
2015-12-22 10:30:00,21.1
2015-12-22 10:45:00,22.325
2015-12-22 11:00:00,22.2
2015-12-22 11:15:00,21.625
